timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1757281546539372000,-0.3835488259792328,-1.8441686630249023,919.8581886291504,57.14442551136017,919.8581886291504,57.14442551136017,472.0,282.5,1,1,0,202
1757281546580588700,0.1263464242219925,-1.3355693817138672,978.5900115966797,79.41093921661377,978.5900115966797,79.41093921661377,448.5,280.0,1,1,0,0
1757281546615683500,0.027987349778413773,-1.2683560848236084,972.7979278564453,86.58907771110535,972.7979278564453,86.58907771110535,462.5,296.5,1,1,0,0
1757281546651854600,0.13752730190753937,-1.721189260482788,991.7269134521484,62.56550654768944,991.7269134521484,62.56550654768944,466.5,280.5,1,1,0,0
1757281546687460200,-0.2748483121395111,-1.4112141132354736,931.7472267150879,68.7867683172226,931.7472267150879,68.7867683172226,439.0,307.0,1,1,0,0
1757281546726556700,-0.14219804108142853,-1.3136472702026367,945.7376289367676,79.55399215221405,945.7376289367676,79.55399215221405,455.0,304.5,1,1,0,0
1757281546762728700,-0.17441792786121368,-1.194382667541504,944.7980690002441,81.28379970788956,944.7980690002441,79.41093921661377,448.5,285.0,1,1,0,0
1757281546798313300,-0.18845170736312866,-1.2052725553512573,943.0705261230469,79.81212794780731,944.7980690002441,79.81212794780731,448.5,313.5,1,1,0,0
1757281546833422900,-0.4083462059497833,-1.1709479093551636,912.2803688049316,84.2164894938469,944.7980690002441,84.2164894938469,432.0,295.5,1,1,0,0
1757281546868007600,-0.18001845479011536,-1.3128209114074707,940.7835960388184,75.64741104841232,944.7980690002441,79.41093921661377,447.0,282.5,1,1,0,0
1757281546903275400,0.03273995593190193,-1.1776231527328491,968.4064865112305,91.37484937906265,944.7980690002441,79.81212794780731,461.5,286.0,1,1,0,0
1757281546937856600,-0.2380327731370926,-1.3529691696166992,934.8060035705566,74.40510034561157,944.7980690002441,79.81212794780731,439.0,271.5,1,1,0,0
1757281546975939100,-0.14491039514541626,-1.4015045166015625,949.6136856079102,72.22839117050171,944.7980690002441,79.41093921661377,439.0,294.0,1,1,0,0
1757281547013057700,-0.40464815497398376,-1.277475357055664,909.4489288330078,80.77519655227661,944.7980690002441,79.81212794780731,431.5,283.5,1,1,0,0
1757281547051168100,-0.3349403142929077,-1.1780612468719482,935.6549263000488,165.15034139156342,944.7980690002441,79.81212794780731,403.0,270.5,1,1,0,0
1757281547085784100,0.13609392940998077,-3.034189224243164,954.4607734680176,389.9157929420471,944.7980690002441,79.81212794780731,409.5,255.5,1,1,0,0
1757281547122898800,0.1494438350200653,-3.441849708557129,956.3525390625,419.3287253379822,944.7980690002441,80.77519655227661,409.0,263.5,1,1,0,0
1757281547157012000,0.1233169287443161,-3.7624030113220215,956.769962310791,446.88143849372864,944.7980690002441,165.15034139156342,404.0,255.5,1,1,0,0
1757281547191150000,0.14807741343975067,-3.4195125102996826,963.5354232788086,415.83130717277527,954.4607734680176,389.9157929420471,399.0,263.5,1,1,0,0
1757281547229754200,0.13716788589954376,-3.792264699935913,957.3113250732422,451.2697470188141,956.3525390625,415.83130717277527,400.0,244.5,1,1,0,0
1757281547267845100,0.052683938294649124,-3.6566545963287354,953.5162925720215,435.69157361984253,953.5162925720215,415.83130717277527,380.0,256.0,1,1,0,0
1757281547304942600,0.5239408612251282,-3.208132266998291,989.8267364501953,397.4972927570343,956.3525390625,397.4972927570343,396.5,248.0,1,1,0,0
1757281547340649900,0.18951329588890076,-3.5518441200256348,957.4891090393066,429.19878244400024,956.3525390625,415.83130717277527,387.0,254.0,1,1,0,0
1757281547379769900,0.5986268520355225,-3.4123611450195312,988.5842514038086,418.22768926620483,956.3525390625,415.83130717277527,373.0,225.5,1,1,0,0
1757281547411895100,0.4562396705150604,-3.571821928024292,973.7689590454102,431.07560992240906,957.4891090393066,415.83130717277527,371.5,219.5,1,1,0,0
1757281547448477300,0.4063241481781006,-3.448287010192871,969.6990966796875,422.2639739513397,957.4891090393066,418.22768926620483,391.0,236.5,1,1,0,0
1757281547485583500,0.519055187702179,-3.5374624729156494,992.372932434082,424.7511863708496,969.6990966796875,418.22768926620483,388.0,249.5,1,1,0,0
1757281547524696200,0.24633435904979706,-3.9449543952941895,962.5909423828125,460.0679934024811,962.5909423828125,422.2639739513397,390.5,231.5,1,1,0,0
1757281547561784000,0.6373981833457947,-3.31602144241333,997.5407409667969,408.467355966568,969.6990966796875,418.22768926620483,379.0,240.5,1,1,0,0
1757281547600950300,1.746127963066101,-5.248581409454346,1106.9647979736328,599.6641302108765,969.6990966796875,422.2639739513397,343.5,230.5,1,1,0,0
1757281547637549200,2.145139455795288,-5.794116497039795,1183.289909362793,652.7695512771606,969.6990966796875,422.2639739513397,347.5,223.5,1,1,0,0
1757281547674639400,2.046478033065796,-5.723873138427734,1144.5268249511719,651.0866475105286,997.5407409667969,422.2639739513397,355.0,237.0,1,1,0,0
1757281547716746900,2.157676935195923,-5.945089817047119,1174.7654342651367,667.3113512992859,1106.9647979736328,599.6641302108765,372.5,234.0,1,1,0,0
1757281547755852300,1.021450400352478,-3.828932762145996,1036.85302734375,461.0884666442871,1036.85302734375,461.0884666442871,341.0,234.0,1,1,0,0
1757281547789560900,-2.8328771591186523,-2.3822219371795654,693.1227493286133,308.7274181842804,997.5407409667969,422.2639739513397,363.5,224.0,1,1,0,0
1757281547825669400,-2.831146001815796,-2.13191294670105,674.5782852172852,296.19988203048706,1036.85302734375,461.0884666442871,371.0,236.0,1,1,0,0
